player_normalized,prop_type,line,is_alt_line,game_date,fanduel_over_odds,fanduel_under_odds,best_over,best_over_book,best_under,best_under_book
josh hart,points,14.5,True,2026-06-04,182.0,-245.0,182.0,,-245.0,
josh hart,points,15.5,True,2026-06-04,225.0,-320.0,225.0,,-320.0,
josh hart,points,19.5,True,2026-06-04,560.0,,560.0,,,
josh hart,points,24.5,True,2026-06-04,1500.0,,1500.0,,,
josh hart,rebounds,3.5,True,2026-06-04,-4500.0,,-4500.0,,,
josh hart,rebounds,4.5,True,2026-06-04,-1450.0,,-1450.0,,,
josh hart,rebounds,5.5,True,2026-06-04,-580.0,360.0,-580.0,,360.0,
josh hart,rebounds,6.5,True,2026-06-04,-290.0,205.0,-290.0,,205.0,
josh hart,rebounds,7.5,True,2026-06-04,-166.0,124.0,-166.0,,124.0,
josh hart,rebounds,8.5,False,2026-06-04,114.0,-146.0,114.0,,-146.0,
josh hart,rebounds,8.5,True,2026-06-04,112.0,-148.0,112.0,,-148.0,
josh hart,rebounds,9.5,True,2026-06-04,158.0,-210.0,158.0,,-210.0,
josh hart,rebounds,10.5,True,2026-06-04,250.0,-360.0,250.0,,-360.0,
josh hart,rebounds,11.5,True,2026-06-04,420.0,,420.0,,,
josh hart,rebounds,13.5,True,2026-06-04,1060.0,,1060.0,,,
josh hart,rebounds,15.5,True,2026-06-04,2000.0,,2000.0,,,
josh hart,threes,0.5,True,2026-06-04,-700.0,410.0,-700.0,,410.0,
josh hart,threes,1.5,False,2026-06-04,-154.0,120.0,-154.0,,120.0,
josh hart,threes,1.5,True,2026-06-04,-154.0,116.0,-154.0,,116.0,
josh hart,threes,2.5,True,2026-06-04,188.0,-260.0,188.0,,-260.0,
josh hart,threes,3.5,True,2026-06-04,410.0,-700.0,410.0,,-700.0,
josh hart,threes,4.5,True,2026-06-04,950.0,,950.0,,,
josh hart,threes,5.5,True,2026-06-04,1700.0,,1700.0,,,
julian champagnie,assists,1.5,False,2026-06-04,128.0,-164.0,128.0,,-164.0,
julian champagnie,assists,1.5,True,2026-06-04,128.0,,128.0,,,
julian champagnie,points,4.5,True,2026-06-04,-1200.0,,-1200.0,,,
julian champagnie,points,5.5,True,2026-06-04,-670.0,390.0,-670.0,,390.0,
julian champagnie,points,6.5,True,2026-06-04,-400.0,270.0,-400.0,,270.0,
julian champagnie,points,7.5,True,2026-06-04,-300.0,210.0,-300.0,,210.0,
julian champagnie,points,8.5,True,2026-06-04,-205.0,152.0,-205.0,,152.0,
julian champagnie,points,9.5,True,2026-06-04,-138.0,106.0,-138.0,,106.0,
julian champagnie,points,10.5,False,2026-06-04,-106.0,-120.0,-106.0,,-120.0,
julian champagnie,points,10.5,True,2026-06-04,-108.0,-122.0,-108.0,,-122.0,
julian champagnie,points,11.5,True,2026-06-04,128.0,-174.0,128.0,,-174.0,
julian champagnie,points,12.5,True,2026-06-04,172.0,-235.0,172.0,,-235.0,
julian champagnie,points,13.5,True,2026-06-04,205.0,-290.0,205.0,,-290.0,
julian champagnie,points,14.5,True,2026-06-04,280.0,,280.0,,,
julian champagnie,points,19.5,True,2026-06-04,1000.0,,1000.0,,,
julian champagnie,rebounds,3.5,True,2026-06-04,-520.0,350.0,-520.0,,350.0,
julian champagnie,rebounds,4.5,True,2026-06-04,-230.0,168.0,-230.0,,168.0,
julian champagnie,rebounds,5.5,False,2026-06-04,-108.0,-115.0,-108.0,,-115.0,
julian champagnie,rebounds,5.5,True,2026-06-04,-110.0,-118.0,-110.0,,-118.0,
julian champagnie,rebounds,6.5,True,2026-06-04,178.0,-245.0,178.0,,-245.0,
julian champagnie,rebounds,7.5,True,2026-06-04,310.0,-470.0,310.0,,-470.0,
julian champagnie,rebounds,8.5,True,2026-06-04,,-1100.0,,,-1100.0,
julian champagnie,rebounds,9.5,True,2026-06-04,870.0,,870.0,,,
julian champagnie,rebounds,11.5,True,2026-06-04,2000.0,,2000.0,,,
julian champagnie,threes,0.5,True,2026-06-04,-2200.0,,-2200.0,,,
julian champagnie,threes,1.5,True,2026-06-04,-320.0,225.0,-320.0,,225.0,
julian champagnie,threes,2.5,False,2026-06-04,-102.0,-125.0,-102.0,,-125.0,
julian champagnie,threes,2.5,True,2026-06-04,-102.0,-130.0,-102.0,,-130.0,
julian champagnie,threes,3.5,True,2026-06-04,240.0,-350.0,240.0,,-350.0,
julian champagnie,threes,4.5,True,2026-06-04,600.0,-1100.0,600.0,,-1100.0,
julian champagnie,threes,5.5,True,2026-06-04,1200.0,,1200.0,,,
julian champagnie,threes,6.5,True,2026-06-04,2500.0,,2500.0,,,
karl-anthony towns,assists,1.5,True,2026-06-04,-1400.0,,-1400.0,,,
karl-anthony towns,assists,2.5,True,2026-06-04,-390.0,265.0,-390.0,,265.0,
karl-anthony towns,assists,3.5,False,2026-06-04,-146.0,114.0,-146.0,,114.0,
karl-anthony towns,assists,3.5,True,2026-06-04,-152.0,114.0,-152.0,,114.0,
karl-anthony towns,assists,4.5,True,2026-06-04,154.0,-210.0,154.0,,-210.0,
karl-anthony towns,assists,5.5,True,2026-06-04,310.0,-470.0,310.0,,-470.0,
karl-anthony towns,assists,6.5,True,2026-06-04,,-1200.0,,,-1200.0,
karl-anthony towns,assists,7.5,True,2026-06-04,1100.0,,1100.0,,,
karl-anthony towns,points,9.5,True,2026-06-04,-1200.0,,-1200.0,,,
karl-anthony towns,points,10.5,True,2026-06-04,-700.0,410.0,-700.0,,410.0,
karl-anthony towns,points,11.5,True,2026-06-04,-500.0,320.0,-500.0,,320.0,
karl-anthony towns,points,12.5,True,2026-06-04,-350.0,240.0,-350.0,,240.0,
karl-anthony towns,points,13.5,True,2026-06-04,-270.0,194.0,-270.0,,194.0,
karl-anthony towns,points,14.5,True,2026-06-04,-198.0,146.0,-198.0,,146.0,
karl-anthony towns,points,15.5,True,2026-06-04,-152.0,114.0,-152.0,,114.0,
karl-anthony towns,points,16.5,False,2026-06-04,-113.0,-113.0,-113.0,,-113.0,
karl-anthony towns,points,16.5,True,2026-06-04,-114.0,-114.0,-114.0,,-114.0,
karl-anthony towns,points,17.5,True,2026-06-04,116.0,-154.0,116.0,,-154.0,
karl-anthony towns,points,18.5,True,2026-06-04,152.0,-205.0,152.0,,-205.0,
karl-anthony towns,points,19.5,True,2026-06-04,188.0,-260.0,188.0,,-260.0,
karl-anthony towns,points,20.5,True,2026-06-04,230.0,-330.0,230.0,,-330.0,
karl-anthony towns,points,21.5,True,2026-06-04,290.0,-440.0,290.0,,-440.0,
karl-anthony towns,points,22.5,True,2026-06-04,360.0,-580.0,360.0,,-580.0,
karl-anthony towns,points,23.5,True,2026-06-04,430.0,-750.0,430.0,,-750.0,
karl-anthony towns,points,24.5,True,2026-06-04,560.0,,560.0,,,
karl-anthony towns,points,29.5,True,2026-06-04,1500.0,,1500.0,,,
karl-anthony towns,rebounds,5.5,True,2026-06-04,-4000.0,,-4000.0,,,
karl-anthony towns,rebounds,7.5,True,2026-06-04,-650.0,400.0,-650.0,,400.0,
karl-anthony towns,rebounds,8.5,True,2026-06-04,-360.0,260.0,-360.0,,260.0,
karl-anthony towns,rebounds,9.5,True,2026-06-04,-265.0,194.0,-265.0,,194.0,
karl-anthony towns,rebounds,10.5,True,2026-06-04,-166.0,124.0,-166.0,,124.0,
karl-anthony towns,rebounds,11.5,False,2026-06-04,100.0,-128.0,100.0,,-128.0,
karl-anthony towns,rebounds,11.5,True,2026-06-04,100.0,-132.0,100.0,,-132.0,
karl-anthony towns,rebounds,12.5,True,2026-06-04,154.0,-210.0,154.0,,-210.0,
karl-anthony towns,rebounds,13.5,True,2026-06-04,240.0,-330.0,240.0,,-330.0,
karl-anthony towns,rebounds,14.5,True,2026-06-04,320.0,-500.0,320.0,,-500.0,
karl-anthony towns,rebounds,15.5,True,2026-06-04,520.0,-900.0,520.0,,-900.0,
karl-anthony towns,threes,0.5,True,2026-06-04,-440.0,290.0,-440.0,,290.0,
karl-anthony towns,threes,1.5,False,2026-06-04,120.0,-154.0,120.0,,-154.0,
karl-anthony towns,threes,1.5,True,2026-06-04,116.0,-158.0,116.0,,-158.0,
karl-anthony towns,threes,2.5,True,2026-06-04,370.0,-600.0,370.0,,-600.0,
karl-anthony towns,threes,3.5,True,2026-06-04,1000.0,,1000.0,,,
keldon johnson,assists,1.5,True,2026-06-04,360.0,,360.0,,,
keldon johnson,points,3.5,True,2026-06-04,-700.0,410.0,-700.0,,410.0,
keldon johnson,points,4.5,True,2026-06-04,-420.0,280.0,-420.0,,280.0,
keldon johnson,points,5.5,True,2026-06-04,-270.0,194.0,-270.0,,194.0,
keldon johnson,points,6.5,True,2026-06-04,-188.0,140.0,-188.0,,140.0,
keldon johnson,points,7.5,True,2026-06-04,-136.0,102.0,-136.0,,102.0,
keldon johnson,points,8.5,False,2026-06-04,106.0,-136.0,106.0,,-136.0,
keldon johnson,points,8.5,True,2026-06-04,104.0,-138.0,104.0,,-138.0,
keldon johnson,points,9.5,True,2026-06-04,146.0,-194.0,146.0,,-194.0,
keldon johnson,points,10.5,True,2026-06-04,194.0,-270.0,194.0,,-270.0,
keldon johnson,points,11.5,True,2026-06-04,240.0,-360.0,240.0,,-360.0,
keldon johnson,points,12.5,True,2026-06-04,320.0,-490.0,320.0,,-490.0,
keldon johnson,points,14.5,True,2026-06-04,560.0,,560.0,,,
keldon johnson,points,19.5,True,2026-06-04,1500.0,,1500.0,,,
keldon johnson,rebounds,3.5,True,2026-06-04,130.0,,130.0,,,
keldon johnson,rebounds,5.5,True,2026-06-04,500.0,,500.0,,,
keldon johnson,rebounds,7.5,True,2026-06-04,1500.0,,1500.0,,,
keldon johnson,threes,0.5,True,2026-06-04,-156.0,,-156.0,,,
keldon johnson,threes,1.5,True,2026-06-04,300.0,,300.0,,,
keldon johnson,threes,2.5,True,2026-06-04,1000.0,,1000.0,,,
landry shamet,assists,1.5,True,2026-06-04,290.0,,290.0,,,
landry shamet,points,5.5,False,2026-06-04,-115.0,-111.0,-115.0,,-111.0,
landry shamet,points,9.5,True,2026-06-04,340.0,,340.0,,,
landry shamet,points,14.5,True,2026-06-04,1100.0,,1100.0,,,
landry shamet,rebounds,1.5,False,2026-06-04,150.0,-194.0,150.0,,-194.0,
landry shamet,threes,0.5,True,2026-06-04,-330.0,,-330.0,,,
landry shamet,threes,1.5,True,2026-06-04,134.0,,134.0,,,
landry shamet,threes,2.5,True,2026-06-04,390.0,,390.0,,,
landry shamet,threes,3.5,True,2026-06-04,900.0,,900.0,,,
landry shamet,threes,4.5,True,2026-06-04,2200.0,,2200.0,,,
luke kornet,points,2.5,False,2026-06-04,-113.0,-113.0,-113.0,,-113.0,
luke kornet,rebounds,3.5,True,2026-06-04,164.0,,164.0,,,
luke kornet,rebounds,5.5,True,2026-06-04,600.0,,600.0,,,
luke kornet,rebounds,7.5,True,2026-06-04,1500.0,,1500.0,,,
mikal bridges,assists,1.5,True,2026-06-04,-520.0,350.0,-520.0,,350.0,
mikal bridges,assists,2.5,False,2026-06-04,-160.0,124.0,-160.0,,124.0,
mikal bridges,assists,2.5,True,2026-06-04,-162.0,122.0,-162.0,,122.0,
mikal bridges,assists,3.5,True,2026-06-04,162.0,-220.0,162.0,,-220.0,
mikal bridges,assists,4.5,True,2026-06-04,360.0,-580.0,360.0,,-580.0,
mikal bridges,assists,5.5,True,2026-06-04,830.0,,830.0,,,
mikal bridges,points,8.5,True,2026-06-04,-670.0,400.0,-670.0,,400.0,
mikal bridges,points,9.5,True,2026-06-04,-430.0,300.0,-430.0,,300.0,
mikal bridges,points,10.5,True,2026-06-04,-320.0,225.0,-320.0,,225.0,
mikal bridges,points,11.5,True,2026-06-04,-235.0,172.0,-235.0,,172.0,
mikal bridges,points,12.5,True,2026-06-04,-172.0,128.0,-172.0,,128.0,
mikal bridges,points,13.5,False,2026-06-04,-122.0,-104.0,-122.0,,-104.0,
mikal bridges,points,13.5,True,2026-06-04,-125.0,-106.0,-125.0,,-106.0,
mikal bridges,points,14.5,True,2026-06-04,110.0,-144.0,110.0,,-144.0,
mikal bridges,points,15.5,True,2026-06-04,140.0,-192.0,140.0,,-192.0,
mikal bridges,points,16.5,True,2026-06-04,182.0,-250.0,182.0,,-250.0,
mikal bridges,points,17.5,True,2026-06-04,230.0,-330.0,230.0,,-330.0,
mikal bridges,points,18.5,True,2026-06-04,290.0,-440.0,290.0,,-440.0,
mikal bridges,points,19.5,True,2026-06-04,370.0,-600.0,370.0,,-600.0,
mikal bridges,points,20.5,True,2026-06-04,470.0,-850.0,470.0,,-850.0,
mikal bridges,points,24.5,True,2026-06-04,1200.0,,1200.0,,,
mikal bridges,rebounds,1.5,True,2026-06-04,-1400.0,,-1400.0,,,
mikal bridges,rebounds,2.5,True,2026-06-04,-310.0,220.0,-310.0,,220.0,
mikal bridges,rebounds,3.5,False,2026-06-04,-118.0,-108.0,-118.0,,-108.0,
mikal bridges,rebounds,3.5,True,2026-06-04,-118.0,-110.0,-118.0,,-110.0,
mikal bridges,rebounds,4.5,True,2026-06-04,188.0,-260.0,188.0,,-260.0,
mikal bridges,rebounds,5.5,True,2026-06-04,390.0,-650.0,390.0,,-650.0,
mikal bridges,rebounds,7.5,True,2026-06-04,1400.0,,1400.0,,,
mikal bridges,threes,0.5,True,2026-06-04,-550.0,350.0,-550.0,,350.0,
